"","x"
"inteligencia",108
"artificial",105
"gente",90
"trabalho",89
"pessoas",87
"empregos",81
"humanos",70
"hoje",64
"acredito",62
"pode",61
"maquina",59
"coisas",56
"tecnologia",52
"emprego",48
"alguns",42
"mundo",41
"humano",41
"tipos",40
"tempo",38
"dia",37
"algumas",35
"forma",33
"fazer",32
"reduzir",31
"humana",29
"audio",29
"anos",28
"maior",28
"trabalhos",28
"tudo",28
"substituir",28
"questao",28
"sempre",27
"vinte",27
"realidade",27
"tendencia",27
"robos",27
"todos",27
"exemplo",27
"sobre",27
"coisa",26
"outros",25
"trabalhar",25
"outra",24
"profissoes",24
"principalmente",24
"melhor",24
"conta",24
"ainda",24
"dados",24
"agora",24
"novas",23
"menos",23
"maquinas",23
"eletricidade",22
"outras",22
"profissionais",22
"oportunidades",22
"novos",21
"industria",21
"bastante",21
"futuro",21
"pouco",21
"muitos",21
"quantidade",19
"visao",19
"dois",19
"vou",19
"cinco",18
"desafio",18
"porcento",18
"todo",18
"grande",18
"frente",18
"rapido",17
"nunca",17
"areas",17
"fato",17
"servico",17
"muitas",17
"antes",17
"seres",17
"humanidade",16
"mudar",16
"cliente",16
"tipo",16
"certeza",16
"onde",16
"capacidade",16
"vida",16
"seguinte",16
"robo",16
"alem",16
"mao",16
"qualquer",15
"revolucoes",15
"gerar",15
"mercado",15
"padroes",15
"sociedade",15
"poder",15
"carro",15
"longo",15
"substituicao",15
"evolucao",15
"historia",14
"demanda",14
"haver",14
"servicos",14
"processos",14
"tarefas",14
"verdade",14
"pra",14
"precisa",14
"decisoes",14
"parte",14
"deixar",14
"necessidade",13
"surgiram",13
"pessoa",13
"cara",13
"processo",13
"empresa",13
"opiniao",13
"bem",13
"obra",13
"horas",13
"prazo",13
"disse",13
"acabar",12
"certa",12
"empatia",12
"desaparecer",12
"aprendizado",12
"inclusive",12
"tema",12
"momento",12
"pesquisa",12
"questoes",12
"relacao",12
"realmente",12
"existir",12
"casa",12
"mil",12
"devera",11
"quarenta",11
"supera",11
"tecnologicas",11
"atendimento",11
"envolvem",11
"limitada",11
"ano",11
"aprender",11
"ira",11
"repetitivas",11
"seis",11
"computadores",11
"faz",11
"quatro",11
"bom",11
"desde",11
"simples",11
"todas",11
"diz",11
"assim",11
"agente",11
"quanto",11
"transcricao",11
"brasil",11
"daqui",11
"exclusao",11
"cognitiva",11
"total",11
"acabaram",10
"costura",10
"invencao",10
"motor",10
"quinze",10
"sabedoria",10
"vapor",10
"eletronicas",10
"necessitam",10
"substituidas",10
